value	sort_order
Abdominal Distension	1
Normal Abdominal Palpation	2
Abnormal Abdominal Palpation	3
Hepatomegaly (enlarged liver)	4
Firm or Tense Abdomen	5
No Abdominal Abnormality Observed	6
Other Abdominal Abnormality	7
