Code	Scientific Name	Common Name	Description	Genus	Species	Date Disabled
1	Chlorocebus aethiops AGM	African Green Monkey			3
10	Macaca mulatta RHM	Rhesus Macaque			3
18		Marmoset			3
4	Cebus apella CAP	Brown-Tufted Capuchin			3
7	Macaca fascicularis CYN	Cynomolgus Macaque			3
9	Macaca nemestrina PIG	Pig-Tailed Macaque			3
