value	sort_order
Blepharospasm/swollen eyelids	1
Conjunctivitis	2
Ocular discharge	3
Phthisis bulbi (shrunken globe)	4
Cataract(s)	5
No ocular abnormality observed	6
Other ocular abnormality	7
