value	sort_order
Muscle atrophy	1
Fractured limb	2
Decreased extension of knees	3
Crepitus (crackling sensation upon palpation)	4
Kyphosis (spinal curvature; hunchback)	5
No musculoskeletal abnormality observed	6
Other musculoskeletal abnormality	7
